accession	organism	strain	assembly_level	assembly_name	release_date	biosample	bioproject	checkm_completeness	checkm_contamination	num_contigs	total_length	tier	covered_bp	n_snps
GCF_039760475.1	Phocaeicola vulgatus	1001271st2_C3_1001271B_151109	Scaffold	ASM3976047v1	2024-05-22	SAMN41376054	PRJNA1093465	100	0.35	167	5264742	hq	3873015	25961
GCF_040094775.1	Phocaeicola vulgatus	CLA-AA-H208	Contig	ASM4009477v1	2024-06-07	SAMN40631577	PRJNA996881	100	0.35	171	4906037	hq	3893016	22272
GCF_040095755.1	Phocaeicola vulgatus	4896a	Contig	ASM4009575v1	2024-06-07	SAMN40631576	PRJNA996881	100	0.07	167	5373973	hq	4073246	23461
GCF_040095815.1	Phocaeicola vulgatus	4889a	Contig	ASM4009581v1	2024-06-07	SAMN40631574	PRJNA996881	99.65	0.35	260	5575148	hq	3900112	31465
GCF_040097405.1	Phocaeicola vulgatus	CLA-KB-H143	Contig	ASM4009740v1	2024-06-07	SAMN40631585	PRJNA996881	100	0.25	184	5028087	hq	4035835	18706
GCF_040097525.1	Phocaeicola vulgatus	CLA-KB-H118	Contig	ASM4009752v1	2024-06-07	SAMN40631583	PRJNA996881	99.65	0.12	120	5209534	vhq	4228755	19531
GCF_040098345.1	Phocaeicola vulgatus	CLA-JM-H27	Contig	ASM4009834v1	2024-06-07	SAMN40631581	PRJNA996881	100	0.12	127	5310362	hq	4070263	19321
GCF_040911805.1	Phocaeicola vulgatus	RTP21359st1_H8_RTP21359_211015	Scaffold	ASM4091180v1	2024-07-26	SAMN41007670	PRJNA1093465	97.86	0.53	468	5464979	hq	3840015	26003
GCF_040911865.1	Phocaeicola vulgatus	RTP21359st1_G9_RTP21359_211015	Scaffold	ASM4091186v1	2024-07-26	SAMN41007669	PRJNA1093465	100	0.37	190	5481359	hq	3874433	25190
GCF_040911905.1	Phocaeicola vulgatus	RTP21359st1_D4_RTP21360_211022	Scaffold	ASM4091190v1	2024-07-26	SAMN41007665	PRJNA1093465	100	0.35	151	5278753	hq	3791267	22053
GCF_040911985.1	Phocaeicola vulgatus	RTP21358st2_F2_RTP21358_211008	Scaffold	ASM4091198v1	2024-07-26	SAMN41007662	PRJNA1093465	100	0.35	145	5412830	hq	3965883	26820
GCF_040912125.1	Phocaeicola vulgatus	RTP21357st1_A3_RTP21357_210408	Scaffold	ASM4091212v1	2024-07-26	SAMN41007656	PRJNA1093465	99.29	0.35	260	5746165	hq	4044984	19960
GCF_040918105.1	Phocaeicola vulgatus	RTP21281st1_C2_RTP21281_210402	Scaffold	ASM4091810v1	2024-07-27	SAMN41018496	PRJNA1093465	99.23	0.18	124	4643798	hq	3731793	21324
GCF_040918145.1	Phocaeicola vulgatus	RTP21281st1_G1_RTP21281_210402	Scaffold	ASM4091814v1	2024-07-27	SAMN41018497	PRJNA1093465	99.33	1.6	155	4785112	hq	3725120	21208
GCF_040918225.1	Phocaeicola vulgatus	RTP21276st1_H11_RTP21276_210326	Scaffold	ASM4091822v1	2024-07-27	SAMN41018494	PRJNA1093465	98.76	0.71	196	4721945	hq	3780204	23439
GCF_040918305.1	Phocaeicola vulgatus	RTP21065st1_C6_RTP21065_210128	Scaffold	ASM4091830v1	2024-07-27	SAMN41018486	PRJNA1093465	99.47	0.77	253	4801179	hq	3685513	22070
GCF_040918325.1	Phocaeicola vulgatus	RTP21065st2_B2_RTP21065_210128	Scaffold	ASM4091832v1	2024-07-27	SAMN41018487	PRJNA1093465	100	0.35	146	5207107	hq	3770814	25290
GCF_040918345.1	Phocaeicola vulgatus	RTP21065st2_B8_RTP21065_210128	Scaffold	ASM4091834v1	2024-07-27	SAMN41018488	PRJNA1093465	100	0.35	139	5279107	hq	3778279	25269
GCF_040918365.1	Phocaeicola vulgatus	RTP21065st1_A1_RTP21065_210128	Scaffold	ASM4091836v1	2024-07-27	SAMN41018485	PRJNA1093465	99.29	0.24	122	4806666	hq	3693325	22176
GCF_040921925.1	Phocaeicola vulgatus	RTP31023st1_D4_RTP31023_210422	Scaffold	ASM4092192v1	2024-07-27	SAMN41030580	PRJNA1093465	98.29	1.06	297	4813497	hq	3740051	24936
GCF_040921935.1	Phocaeicola vulgatus	RTP31023st1_A2_RTP31023_210422	Scaffold	ASM4092193v1	2024-07-27	SAMN41030579	PRJNA1093465	99.29	0.35	113	4854065	hq	3770012	24458
GCF_040921965.1	Phocaeicola vulgatus	RTP31003st1_C4_RTP31003_210430	Scaffold	ASM4092196v1	2024-07-27	SAMN41030577	PRJNA1093465	99	0.3	199	4746024	hq	3735462	23942
GCF_040922005.1	Phocaeicola vulgatus	RTP31003st1_B1_RTP31003_210430	Scaffold	ASM4092200v1	2024-07-27	SAMN41030576	PRJNA1093465	99.27	0.12	207	4774202	hq	3750891	24101
GCF_040922025.1	Phocaeicola vulgatus	RTP21002st1_E8_RTP31004_210507	Scaffold	ASM4092202v1	2024-07-27	SAMN41030574	PRJNA1093465	99.9	0.44	191	4998234	hq	3917079	27091
GCF_040922045.1	Phocaeicola vulgatus	RTP21002st1_E11_RTP31004_210507	Scaffold	ASM4092204v1	2024-07-27	SAMN41030573	PRJNA1093465	99.59	0.3	184	4992140	hq	3902674	27454
GCF_040922065.1	Phocaeicola vulgatus	RTP21002st1_A1_RTP31004_210507	Scaffold	ASM4092206v1	2024-07-27	SAMN41030571	PRJNA1093465	99.23	0.07	206	4986509	hq	3910349	27018
GCF_040928345.1	Phocaeicola vulgatus	RTP21198st1_D3_RTP21198_201120	Scaffold	ASM4092834v1	2024-07-27	SAMN41035073	PRJNA1093465	99.41	0.09	286	5276885	hq	4014655	20253
GCF_040928365.1	Phocaeicola vulgatus	RTP21198st1_F5_RTP21198_201120	Scaffold	ASM4092836v1	2024-07-27	SAMN41035074	PRJNA1093465	99.41	0.8	256	5284215	hq	4019543	20295
GCF_040928465.1	Phocaeicola vulgatus	2201st1_H11_2201SCRN_220225	Scaffold	ASM4092846v1	2024-07-27	SAMN41035068	PRJNA1093465	99.29	0.06	183	5171644	hq	3819377	22049
GCF_040928505.1	Phocaeicola vulgatus	2201st1_C2_2201SCRN_220225	Scaffold	ASM4092850v1	2024-07-27	SAMN41035067	PRJNA1093465	98.74	1.3	469	5157286	hq	3785569	22632
GCF_046861415.1	Phocaeicola vulgatus	AE61	Contig	ASM4686141v1	2025-01-21	SAMD00856357	PRJDB17635	100	0.35	4	5487937	vhq	4009127	24672
GCF_047307265.1	Phocaeicola vulgatus	BF7BF-5	Scaffold	ASM4730726v1	2025-01-29	SAMN41003865	PRJNA1101861	99.65	0.77	147	5165136	hq	3907595	24433
GCF_047307325.1	Phocaeicola vulgatus	BF7ST-4	Scaffold	ASM4730732v1	2025-01-29	SAMN41003866	PRJNA1101861	99.29	0.77	139	5166944	hq	3912696	23794
GCF_047307425.1	Phocaeicola vulgatus	BF3BP-10	Scaffold	ASM4730742v1	2025-01-29	SAMN41003858	PRJNA1101861	99.65	0.41	155	5285969	hq	3937386	20783
GCF_047307725.1	Phocaeicola vulgatus	BF10BF-4	Scaffold	ASM4730772v1	2025-01-29	SAMN41003844	PRJNA1101861	100	0.12	120	5091824	hq	3948194	27655
GCF_047307865.1	Phocaeicola vulgatus	R21-K28	Scaffold	ASM4730786v1	2025-01-29	SAMN41003838	PRJNA1101861	100	0.53	83	5099535	vhq	3783864	24197
GCF_047307925.1	Phocaeicola vulgatus	95-K22	Scaffold	ASM4730792v1	2025-01-29	SAMN41003835	PRJNA1101861	99.56	0.89	84	5139439	vhq	3807263	27770
GCF_047308005.1	Phocaeicola vulgatus	R37-K15	Scaffold	ASM4730800v1	2025-01-29	SAMN41003830	PRJNA1101861	100	0.35	102	5046563	hq	3776090	26676
GCF_047308905.1	Phocaeicola vulgatus	R37-K10	Scaffold	ASM4730890v1	2025-01-29	SAMN41003827	PRJNA1101861	100	0.65	88	5058385	hq	3783601	34032
GCF_047309325.1	Phocaeicola vulgatus	79-K20	Scaffold	ASM4730932v1	2025-01-29	SAMN41003805	PRJNA1101861	100	0.35	108	5155297	hq	4140680	19764
GCF_047309505.1	Phocaeicola vulgatus	R18-K23	Scaffold	ASM4730950v1	2025-01-29	SAMN41003796	PRJNA1101861	100	0.35	123	5078736	hq	3838830	25805
GCF_047310225.1	Phocaeicola vulgatus	R30-K6	Scaffold	ASM4731022v1	2025-01-29	SAMN41003760	PRJNA1101861	99.65	0.35	95	5287755	vhq	4092869	21644
GCF_047310325.1	Phocaeicola vulgatus	102-K15/2	Scaffold	ASM4731032v1	2025-01-29	SAMN41003755	PRJNA1101861	99.56	0.59	133	5132784	hq	3888969	20077
GCF_047311065.1	Phocaeicola vulgatus	R22-K13B	Scaffold	ASM4731106v1	2025-01-29	SAMN41003718	PRJNA1101861	100	0.35	107	4985796	hq	4031925	22055
GCF_047311225.1	Phocaeicola vulgatus	87-K18	Scaffold	ASM4731122v1	2025-01-29	SAMN41003710	PRJNA1101861	100	0.35	133	4869846	hq	3961588	25356
GCF_047638235.1	Phocaeicola vulgatus	CFPLTA003-2B	Contig	ASM4763823v1	2025-02-11	SAMN46487563	PRJNA557692	100	0.35	14	5259154	vhq	3838975	26351
GCF_047777885.1	Phocaeicola vulgatus	NB1000S	Complete Genome	ASM4777788v1	2025-02-15	SAMN46279743	PRJNA1211572	100	1.06	1	5229244	complete	5161432	8
GCF_047948285.1	Phocaeicola vulgatus	sJLG0017	Complete Genome	ASM4794828v1	2025-02-24	SAMN46792668	PRJNA1211572	98.94		1	5776157	complete	3943548	26258
GCF_048453055.1	Phocaeicola vulgatus	sJLG0024	Contig	ASM4845305v1	2025-03-06	SAMN46794516	PRJNA1211572	100	1.06	4	5556589	vhq	5087394	16111
GCF_048453085.1	Phocaeicola vulgatus	sJLG0027	Contig	ASM4845308v1	2025-03-06	SAMN46794519	PRJNA1211572	100	0.18	15	6241165	vhq	3850973	145457
GCF_051065055.1	Phocaeicola vulgatus	260F	Contig	ASM5106505v1	2025-06-25	SAMN49352051	PRJNA1279005	100	0.65	82	5076179	vhq	3842036	29762
GCF_900445545.1	Phocaeicola vulgatus	NCTC10583	Contig	54949_B01	2018-08-08	SAMEA103980414	PRJEB6403	100	0.35	9	4947907	vhq	3992422	23743
GCF_964084965.1	Phocaeicola vulgatus		Scaffold	Mother2_isolate2	2025-01-21	SAMEA115648420	PRJEB75923	99.65	0.35	120	4751611	hq	3855222	26060
GCF_964238155.1	Phocaeicola vulgatus ATCC 8482		Scaffold	CC00304	2024-08-29	SAMEA9956804	PRJEB45397	99.65	0.47	87	4926160	vhq	4027518	23975
GCF_964238335.1	Phocaeicola vulgatus PC510		Scaffold	CC00318	2024-08-29	SAMEA9956818	PRJEB45397	100	0.35	112	5312395	vhq	4099082	19529
GCF_964238845.1	Phocaeicola vulgatus dnLKV7		Scaffold	CC00319	2024-08-29	SAMEA9956819	PRJEB45397	100	0.35	93	5318009	vhq	4102187	19645
GCF_964240005.1	Phocaeicola vulgatus		Scaffold	CC00740	2024-08-29	SAMEA111347032	PRJEB45397	100	0.71	185	5428913	hq	3921785	25448
GCF_964241015.1	Phocaeicola vulgatus ATCC 8482		Contig	CC00303	2024-08-29	SAMEA9956803	PRJEB45397	99.65	0.35	88	4924615	vhq	4028304	23937
GCF_964242805.1	Phocaeicola vulgatus		Scaffold	CC00955	2024-08-29	SAMEA111347187	PRJEB45397	100	0.35	289	5734111	hq	3842933	29359
GCF_964242985.1	Phocaeicola vulgatus ATCC 8482		Scaffold	CC00087	2024-08-29	SAMEA9956619	PRJEB45397	99.65	0.35	222	5291006	hq	4006918	31391
GCF_964243165.1	Phocaeicola vulgatus CL09T03C04		Scaffold	CC00410	2024-08-29	SAMEA9956881	PRJEB45397	100	0.35	196	5729254	hq	3926953	27689
GCF_964243285.1	Phocaeicola vulgatus CL09T03C04		Scaffold	CC00411	2024-08-29	SAMEA9956882	PRJEB45397	100	0.35	216	5720648	hq	3918519	27612
GCF_964243735.1	Phocaeicola vulgatus		Scaffold	CC00415	2024-08-29	SAMEA9956883	PRJEB45397	100	0.47	123	5280496	hq	3936425	21407
GCF_964245055.1	Phocaeicola vulgatus ATCC 8482		Scaffold	CC00076	2024-08-29	SAMEA9956608	PRJEB45397	99.65	0.35	219	5323866	hq	4005928	31357
GCF_964245225.1	Phocaeicola vulgatus ATCC 8482		Scaffold	CC00078	2024-08-29	SAMEA9956610	PRJEB45397	99.65	0.35	213	5325781	hq	4005946	31333
GCF_964245285.1	Phocaeicola vulgatus		Scaffold	CC00961	2024-08-29	SAMEA111347193	PRJEB45397	100	0.35	297	5715118	hq	3848172	29867
GCF_964246425.1	Phocaeicola vulgatus		Scaffold	CC00473	2024-08-29	SAMEA9956927	PRJEB45397	100	0.18	181	5441293	hq	4051583	17416
GCF_964248235.1	Phocaeicola vulgatus ATCC 8482		Scaffold	CC00085	2024-08-29	SAMEA9956617	PRJEB45397	99.65	0.35	218	5324570	hq	4006635	31182
GCF_964248265.1	Phocaeicola vulgatus ATCC 8482		Scaffold	CC00081	2024-08-29	SAMEA9956613	PRJEB45397	99.65	0.35	218	5323818	hq	4007023	31358
GCF_964249005.1	Phocaeicola vulgatus ATCC 8482		Scaffold	CC00999	2024-08-29	SAMEA111347221	PRJEB45397	99.65	0.35	69	4930275	vhq	4029426	23900
GCF_964249125.1	Phocaeicola vulgatus		Scaffold	CC00960	2024-08-29	SAMEA111347192	PRJEB45397	100	0.35	294	5736150	hq	3846351	29523
GCF_964249975.1	Phocaeicola vulgatus		Scaffold	CC00943	2024-08-29	SAMEA111347176	PRJEB45397	100	0.71	112	5276565	vhq	3763866	24575
GCF_964250055.1	Phocaeicola vulgatus		Scaffold	CC00956	2024-08-29	SAMEA111347188	PRJEB45397	100	0.35	313	5717680	hq	3850054	29839
GCF_964251225.1	Phocaeicola vulgatus ATCC 8482		Scaffold	CC00077	2024-08-29	SAMEA9956609	PRJEB45397	99.65	0.35	215	5327711	hq	4006598	31412
GCF_964251715.1	Phocaeicola vulgatus		Scaffold	CC00474	2024-08-29	SAMEA9956928	PRJEB45397	100	0.18	175	5460046	hq	4053456	17388
GCF_964252045.1	Phocaeicola vulgatus		Scaffold	CC00962	2024-08-29	SAMEA111347194	PRJEB45397	100	0.35	291	5734441	hq	3845314	29401
GCF_964252195.1	Phocaeicola vulgatus PC510		Scaffold	CC00341	2024-08-29	SAMEA9956836	PRJEB45397	100	0.18	195	5357002	hq	4029412	20703
GCF_964252495.1	Phocaeicola vulgatus		Scaffold	CC00952	2024-08-29	SAMEA111347184	PRJEB45397	100	0.35	300	5722655	hq	3852015	29878
